jockey,jockey_win_rate_100,jockey_win_rate_venue
小林脩斗,0.0,0.0355648535564853
小沢大仁,0.03,0.0472440944881889
小牧加矢,0.1578947368421052,0.1034482758620689
小牧太,0.0,0.0510948905109489
小谷周平,,
小野寺祐,0.0543478260869565,0.009009009009009
小野楓馬,0.0,0.0
山下裕貴,,
山下雅之,,
山中悠希,,
山口勲,0.0,0.0
山本咲希,0.0,0.0
山本康志,0.0326086956521739,0.0705882352941176
山本聡哉,0.0,0.0
山田敬士,0.0,0.0124688279301745
山田祥雄,0.0,
山田雄大,,
岡村健司,0.0,
岡田祥嗣,0.0101010101010101,0.0
岡遼太郎,0.0,0.0
岡部誠,0.0,0.0
岩崎翼,0.0306122448979591,0.034416826003824
岩橋勇二,0.0,0.0
岩田康誠,0.1,0.0838445807770961
岩田望来,0.1111111111111111,0.1218390804597701
岩部純二,0.010204081632653,0.0117647058823529
嶋田純次,0.04,0.0141509433962264
川原正一,0.0,0.0
川又賢治,0.0404040404040404,0.0439330543933054
川島信二,0.06,0.0415800415800415
川島拓,,
川島正太,,
川田将雅,0.25,0.2163461538461538
川端海翼,0.03,0.008
川須栄彦,0.01,0.0241691842900302
左海誠二,0.03125,0.0
平沢健治,0.1489361702127659,0.1707317073170731
平野優,0.01,0.0
幸英明,0.05,0.0625
広瀬航,0.0,0.0
張田昂,0.0,0.0
後藤浩輝,0.0927835051546391,0.0
御神本訓,0.0,0.0
戸崎圭太,0.1313131313131313,0.151242502142245
斎藤新,0.05,0.0493358633776091
新原周馬,0.0,0.0
早田功駿,0.0,0.0
服部寿希,0.0101010101010101,0.0
服部茂史,0.0,0.0
望月洵輝,0.0,0.0
木幡初也,0.0303030303030303,0.0273972602739726
木幡初広,0.0404040404040404,0.0439024390243902
木幡巧也,0.0612244897959183,0.0459302325581395
木幡育也,0.0408163265306122,0.0254237288135593
木間塚龍,0.0,0.0
本橋孝太,,
本田正重,0.0,0.0
杉原誠人,0.0404040404040404,0.0318118948824343
杉浦健太,0.0,0.0
村田一誠,0.0,0.0
東川公則,0.0,0.0
松井伸也,0.0,0.0
松山弘平,0.1212121212121212,0.0995670995670995
松岡正海,0.04,0.0526662277814351
松木大地,,
松本大輝,0.0306122448979591,0.0285714285714285
松田大作,0.04,0.05720823798627
松若風馬,0.0707070707070707,0.0891089108910891
林満明,0.1612903225806451,0.0
柴山雄一,0.0505050505050505,0.0718113612004287
柴田善臣,0.0707070707070707,0.0480427046263345
柴田大知,0.01,0.0428769017980636
柴田未崎,0.01,0.02
柴田裕一,0.05,0.0515463917525773
柿原翔,0.0,0.0
桑村真明,0.0113636363636363,0.0
梶晃啓,0.0,
森一馬,0.1443298969072164,0.1518987341772152
森泰斗,0.05,0.0845070422535211
森裕太朗,0.0103092783505154,0.0423280423280423
植野貴也,0.0769230769230769,0.0595238095238095
横山典弘,0.07,0.1241970021413276
横山和生,0.1313131313131313,0.0837789661319073
横山武史,0.1030927835051546,0.1423303834808259
横山琉人,0.0618556701030927,0.0555555555555555
横山義行,0.0,0.0
橋木太希,0.0,0.0
武士沢友,0.0408163265306122,0.0216076058772687
武幸四郎,0.1111111111111111,0.0928571428571428
武藤雅,0.06,0.0554156171284634
武豊,0.1212121212121212,0.1505791505791505
水口優也,0.08,0.0601092896174863
水沼元輝,0.0101010101010101,0.0077519379844961
永島まな,0.0408163265306122,0.0433884297520661
永島太郎,0.0,
永森大智,0.0,0.0
永野猛蔵,0.0707070707070707,0.0379041248606466
江田勇亮,0.0674157303370786,0.0566037735849056
江田照男,0.0404040404040404,0.0434017595307917
池添謙一,0.101010101010101,0.101010101010101
池田敏樹,,
池谷匠翔,0.0,0.0
河原田菜,0.0,0.0526315789473684
泉谷楓真,0.01,0.0568475452196382
津村明秀,0.04,0.0652173913043478
浅野皓大,0.0,0.0
浜中俊,0.1030927835051546,0.1056751467710371
浜尚美,0.0,0.0
浜野谷憲,0.064516129032258,0.0181818181818181
渡辺竜也,0.0,0.0
瀧川寿希,0.0,0.0
熊沢重文,0.0833333333333333,0.0784313725490196
田中健,0.0303030303030303,0.0379146919431279
田中勝春,0.02,0.0418894830659536
田中博康,0.01,0.0
田中学,0.0,0.0
田中直人,,
田中純,,
田口貫太,0.05,0.0476190476190476
田村太雅,0.0412371134020618,0.0
田辺裕信,0.07,0.1155670547649849
田野豊三,,
町田直希,0.0,0.0
畑端省吾,0.0505050505050505,0.0181818181818181
白浜雄造,0.09,0.0517241379310344
的場勇人,0.0,0.0147058823529411
的場文男,0.0,0.0
真島大輔,0.0,0.0
矢野貴之,0.0,0.0
石堂響,,
石崎駿,,
石川倭,0.056338028169014,0.064516129032258
石川慎将,0.0,0.0
石川裕紀,0.09,0.0666666666666666
石橋脩,0.06,0.0891719745222929
石田拓郎,0.0404040404040404,0.0
石神深一,0.1157894736842105,0.1596638655462184
石神深道,0.01,0.04
福原杏,0.0,0.0
福永祐一,0.1515151515151515,0.1347517730496454
秋山真一,0.0408163265306122,0.074074074074074
秋山稔樹,0.02,0.0304182509505703
竹之下智,0.0202020202020202,0.0446428571428571
竹吉徹,0.0,0.0
笹川翼,0.0307692307692307,0.1428571428571428
笹田知宏,0.0,0.0
筒井勇介,0.0,0.0
細川智史,0.0,0.0
繁田健一,0.0,0.0
義英真,0.06,0.0671641791044776
花田大昂,0.0,0.0
草野太郎,0.0769230769230769,0.0373831775700934
荻野極,0.0618556701030927,0.0845070422535211
荻野琢真,0.0404040404040404,0.05
菅原俊吏,0.0,0.0
菅原明良,0.0808080808080808,0.0580747812251392
菅原涼太,0.0,0.0
菅原隆一,0.0101010101010101,0.0
菊沢一樹,0.05,0.0387931034482758
菱田裕二,0.0404040404040404,0.046875
落合玄太,0.0,0.0
蓑島靖典,0.0851063829787234,0.073170731707317
藤井勘一,0.02,0.037037037037037
藤原幹生,0.0,0.0
藤岡佑介,0.06,0.1007025761124121
藤岡康太,0.1515151515151515,0.0724070450097847
藤懸貴志,0.0721649484536082,0.0408163265306122
藤田伸二,0.0606060606060606,0.1463414634146341
藤田弘治,0.125,0.0
藤田菜七,0.03,0.0714285714285714
蛯名正義,0.0404040404040404,0.0888888888888888
西塚洸二,0.05,0.0619047619047619
西村太一,0.0208333333333333,0.027027027027027
西村淳也,0.0707070707070707,0.1023890784982935
西田雄一,0.02,0.0214723926380368
西谷凜,0.02,0.0
西谷誠,0.1195652173913043,0.1041666666666666
角田大和,0.0714285714285714,0.0493562231759656
角田大河,0.0714285714285714,0.037037037037037
谷内貫太,0.0,0.0
達城龍次,0.0,0.0
酒井学,0.04,0.040506329113924
野中悠太,0.0101010101010101,0.0216329378925331
野畑凌,0.3333333333333333,1.0
金子光希,0.0879120879120879,0.0317460317460317
金山昇馬,0.0,0.0
鈴木慶太,0.048780487804878,0.0
鈴木祐,0.0,
長尾翼玖,0.0,0.0
長岡禎仁,0.06,0.04
長江慶悟,0.0,0.0
長浜鴻緒,0.0202020202020202,0.0491803278688524
長谷部駿,,
阪野学,0.0,0.0
阿部龍,0.0357142857142857,0.0
難波剛健,0.0618556701030927,0.0862068965517241
飛田愛斗,0.0,0.0
高倉稜,0.02,0.0340425531914893
高杉吏麒,0.1414141414141414,0.1123595505617977
高松亮,0.0,0.0
高田潤,0.1717171717171717,0.1454545454545454
高野和馬,0.0112359550561797,0.0392156862745098
鮫島克也,0.0,0.0
鮫島克駿,0.16,0.064516129032258
鮫島良太,0.0306122448979591,0.027027027027027
鴨宮祥行,0.0,0.0
鷲頭虎太,0.0,0.0275229357798165
鷹見陸,0.0,0.0
黒岩悠,0.06,0.0909090909090909
黛弘人,0.03,0.0202952029520295
Ｃ．デム,0.22,0.15
Ｍ．デム,0.11,0.1567291311754685
